GPU,Score,Price,Playable Games,Unplayable Games,Percent Playable,Percent Playable per dollar
Quadro RTX 6000,19256,6300.0,8533,137,98.41983852364476,0.015622196591054724
GeForce GT 640,1179,109.99,143,8527,1.649365628604383,0.014995596223332876
Radeon R9 255,1457,344.16,429,8241,4.948096885813149,0.014377315451572375
Quadro 5000,1924,804.62,981,7689,11.314878892733564,0.014062388323349611
FirePro 3D V5800,1232,204.0,242,8428,2.7912341407151096,0.013682520297623086
Radeon Pro Duo,8296,3970.36,4313,4357,49.74625144175317,0.01252940575709839
Radeon RX Vega 11,2122,1002.0,1031,7639,11.891580161476355,0.011867844472531293
GeForce GTX 275,1427,431.72,427,8243,4.925028835063437,0.011407923735438332
Quadro GV100,20021,8999.0,8561,109,98.74279123414071,0.010972640430507913
FirePro S7150,2727,1697.99,1608,7062,18.546712802768166,0.010922745600838736
GeForce GTX 295,1202,159.99,150,8520,1.7301038062283738,0.010813824652968146
Radeon HD 6770,1247,264.99,248,8422,2.8604382929642442,0.010794514106057754
Quadro K2100M,1361,415.99,378,8292,4.359861591695502,0.0104806884581252
FirePro 3D V8700,1206,170.07,150,8520,1.7301038062283738,0.010172892375071288
GeForce GT 545,1102,55.59,42,8628,0.4844290657439446,0.008714320304802025
Tesla M10,3490,2695.0,1918,6752,22.122260668973475,0.008208631046001289
Radeon HD 7730,1209,232.7,161,8509,1.8569780853517879,0.007980137882904116
Quadro P520,2104,1499.0,1031,7639,11.891580161476355,0.007933008780171018
FirePro 3D V9800,2812,2499.0,1609,7061,18.55824682814302,0.007426269238952789
Radeon R9 M370X,1517,889.0,563,8107,6.493656286043829,0.007304450265516118
Quadro FX 5800,1217,274.0,161,8509,1.8569780853517879,0.006777292282305795
GeForce GTX 280,1299,522.78,281,8389,3.241061130334487,0.006199665500467667
Quadro K620,2240,2029.99,1086,7584,12.525951557093427,0.006170449882557759
Quadro 4000,1479,1008.09,523,8147,6.032295271049596,0.005983885636252314
Barco MXRT 5400,1161,203.0,102,8568,1.1764705882352942,0.005795421616922631
Radeon R7 430,1111,150.58,55,8615,0.6343713956170703,0.004212852939414731
GRID K2,2737,4449.99,1608,7062,18.546712802768166,0.004167809995700702
Quadro 6000,2701,4092.38,1355,7315,15.628604382929643,0.003818952390278919
Radeon R7 250,1083,189.97,41,8629,0.4728950403690888,0.002489314314729109
FirePro 3D V8750,1272,1230.99,249,8421,2.8719723183391004,0.00233305901618949
NVS 810,1161,624.99,102,8568,1.1764705882352942,0.0018823830593054196
Radeon Vega 6,1309,1799.99,282,8388,3.2525951557093427,0.0018070073476571219
Radeon HD 6750,1035,79.99,11,8659,0.12687427912341406,0.0015861267548870368
Quadro K1100M,1085,322.99,41,8629,0.4728950403690888,0.0014641166611012379
Quadro 3000M,1019,69.99,8,8662,0.0922722029988466,0.001318362666078677
Radeon R9 M275,1115,699.99,55,8615,0.6343713956170703,0.0009062577974214922
Quadro K2000M,1016,144.04,8,8662,0.0922722029988466,0.0006406012427023508
Barco MXRT 5450,1079,199.99,11,8659,0.12687427912341406,0.0006344031157728589
