GPU,Score,Price,Playable Games,Unplayable Games,Percent Playable
Radeon HD 4650,230,69.99,224,3983,5.324459234608985
Radeon HD 6470M,228,569.99,217,3990,5.158069883527454
Quadro FX 4500,226,169.0,216,3991,5.134299976230093
Quadro NVS 290,226,59.0,216,3991,5.134299976230093
Radeon HD 7450,224,49.99,216,3991,5.134299976230093
GT 430,223,142.88,216,3991,5.134299976230093
Radeon R5 230,222,81.1,214,3993,5.08676016163537
Quadro FX 2500M,218,17.5,214,3993,5.08676016163537
GeForce 7600 GT,217,199.0,214,3993,5.08676016163537
GeForce GT 220,213,39.99,207,4000,4.920370810553839
Radeon HD 2600 PRO,211,188.44,203,4004,4.825291181364393
GeForce 7950 GX2,202,54.99,201,4006,4.77775136676967
Radeon HD 6380G,201,399.99,201,4006,4.77775136676967
RADEON HD7450,199,22.25,201,4006,4.77775136676967
Radeon HD 6450,198,89.0,201,4006,4.77775136676967
Quadro FX 1500,197,115.01,192,4015,4.563822201093416
FireGL V3600,180,160.99,192,4015,4.563822201093416
FirePro 3D V3700,179,84.99,192,4015,4.563822201093416
FirePro 2460,170,83.99,192,4015,4.563822201093416
Quadro FX 770M,170,527.0,192,4015,4.563822201093416
GeForce GT 120,169,29.99,192,4015,4.563822201093416
Radeon HD 8350,163,99.81,192,4015,4.563822201093416
Quadro FX 380,163,72.5,192,4015,4.563822201093416
Radeon HD 3450,159,89.0,192,4015,4.563822201093416
GeForce 315,159,32.99,192,4015,4.563822201093416
GeForce 7600 GS,157,175.0,192,4015,4.563822201093416
Quadro FX 580,157,130.0,192,4015,4.563822201093416
Radeon HD 7340,154,552.69,156,4051,3.7081055383884003
Radeon HD 3650 AGP,150,185.0,156,4051,3.7081055383884003
GeForce 8400 GS,150,85.97,156,4051,3.7081055383884003
GeForce 8600 GTS,150,241.99,156,4051,3.7081055383884003
GeForce 9500 GT,149,85.99,153,4054,3.636795816496316
Quadro FX 3450,149,119.99,153,4054,3.636795816496316
Quadro 400,148,211.0,151,4056,3.5892560019015924
Radeon HD 6320,148,554.99,151,4056,3.5892560019015924
FirePro 2270,145,134.0,148,4059,3.5179462800095083
RADEON HD 6350,141,59.0,140,4067,3.3277870216306153
Mobility Radeon HD 4570,139,75.9,139,4068,3.304017114333254
GeForce 9600M GT,138,78.2,139,4068,3.304017114333254
GeForce 9650M GT,137,117.3,136,4071,3.23270739244117
GeForce 6600 GT,137,64.95,136,4071,3.23270739244117
GeForce 7300 GT,136,149.99,129,4078,3.0663180413596387
Radeon HD 5450,136,94.96,129,4078,3.0663180413596387
EAH5450,134,109.99,127,4080,3.0187782267649155
Radeon R5 220,133,85.26,127,4080,3.0187782267649155
GeForce 9400 GT,132,159.99,127,4080,3.0187782267649155
Quadro FX 1600M,131,149.9,126,4081,2.995008319467554
Mobility Radeon HD 3650,130,73.53,126,4081,2.995008319467554
Quadro FX 1700,129,350.14,126,4081,2.995008319467554
FireGL V7300,128,1189.99,126,4081,2.995008319467554
GeForce 9300,127,59.0,126,4081,2.995008319467554
Quadro FX 1400,124,245.01,124,4083,2.947468504872831
GeForce G100,124,19.99,124,4083,2.947468504872831
Radeon HD 3470,123,109.65,123,4084,2.9236985975754695
NVS 300,123,62.97,123,4084,2.9236985975754695
Radeon HD 4350,121,102.24,117,4090,2.7810791537913
Radeon HD 2400,121,88.2,117,4090,2.7810791537913
GeForce 405,120,24.64,115,4092,2.733539339196577
GeForce 310,120,108.35,115,4092,2.733539339196577
GeForce 505,118,115.06,111,4096,2.638459710007131
FireMV 2260,117,88.08,111,4096,2.638459710007131
GeForce 8600 GT,117,196.0,111,4096,2.638459710007131
FireGL V5200,115,133.4,107,4100,2.543380080817685
Quadro FX 560,114,150.25,107,4100,2.543380080817685
GeForce 6800,113,559.29,107,4100,2.543380080817685
GeForce 8400M GS,113,78.2,107,4100,2.543380080817685
FireGL V7350,111,119.42,89,4118,2.1155217494651772
GeForce 210,106,54.15,88,4119,2.0917518421678154
GeForce 9500M,104,101.2,77,4130,1.8302828618968388
GeForce 9300 GS,102,59.95,77,4130,1.8302828618968388
GeForce 8300,102,22.68,77,4130,1.8302828618968388
GeForce G210,98,122.12,70,4137,1.6638935108153077
Radeon 3000,98,319.0,70,4137,1.6638935108153077
GeForce 9300GE,98,97.2,70,4137,1.6638935108153077
FireGL V5100,93,114.96,64,4143,1.5212740670311384
GeForce 9300M GS,90,43.42,63,4144,1.497504159733777
GeForce 8600M GT,90,108.1,63,4144,1.497504159733777
GeForce 6600,86,264.0,58,4149,1.3786546232469692
Radeon X1650 Pro,85,160.89,46,4161,1.093415735678631
ION,84,229.99,46,4161,1.093415735678631
Quadro FX 370,84,125.0,46,4161,1.093415735678631
GeForce 8400,81,589.99,42,4165,0.9983361064891847
Quadro FX 540,81,59.99,42,4165,0.9983361064891847
GeForce 7300 LE,80,32.0,41,4166,0.9745661991918231
Quadro NVS 295,80,63.0,41,4166,0.9745661991918231
GeForce 9300 GE,76,22.99,41,4166,0.9745661991918231
Radeon 3100,74,179.17,41,4166,0.9745661991918231
FireGL V7100,72,328.67,39,4168,0.9270263845971001
Quadro NVS 420,70,150.0,39,4168,0.9270263845971001
Quadro FX 3000,69,166.61,39,4168,0.9270263845971001
RADEON X600 PRO,67,160.49,39,4168,0.9270263845971001
Quadro NVS 450,67,159.0,39,4168,0.9270263845971001
Radeon X1550,67,155.0,39,4168,0.9270263845971001
Quadro FX 550,64,287.82,39,4168,0.9270263845971001
Radeon 2100,60,190.99,38,4169,0.9032564772997385
Radeon X1300,58,95.78,38,4169,0.9032564772997385
RADEON 9800,58,325.0,38,4169,0.9032564772997385
FirePro 2450,51,89.99,32,4175,0.7606370335155692
RADEON X600 SE,49,56.18,32,4175,0.7606370335155692
FireMV 2250,46,104.0,29,4178,0.6893273116234846
Quadro NVS 285,42,169.86,29,4178,0.6893273116234846
GeForce 6200,42,99.99,29,4178,0.6893273116234846
Quadro NVS 285 128MB,38,55.0,19,4188,0.45162823864986923
Quadro NVS 440,38,228.87,19,4188,0.45162823864986923
RADEON 9500,36,40.5,19,4188,0.45162823864986923
FireMV 2200 PCIe,36,89.99,19,4188,0.45162823864986923
Quadro FX 1100,36,212.99,19,4188,0.45162823864986923
RADEON 9550,35,291.74,19,4188,0.45162823864986923
GeForce 6200 LE,29,41.24,18,4189,0.4278583313525077
GeForce 6150,22,329.0,8,4199,0.1901592583788923
GeForce FX 5500,8,153.97,6,4201,0.14261944378416924
Quadro NVS 280 PCI,8,130.0,6,4201,0.14261944378416924
GeForce FX 5200,8,129.0,6,4201,0.14261944378416924
GeForce FX 5200LE,7,42.99,3,4204,0.07130972189208462
GeForce4 Ti 4600,6,53.99,3,4204,0.07130972189208462
GeForce 256,5,42.04,3,4204,0.07130972189208462
Quadro4 980 XGL,5,341.43,3,4204,0.07130972189208462
GeForce 6200A,4,54.99,1,4206,0.023769907297361538
RADEON 9200,4,153.63,1,4206,0.023769907297361538
Matrox Parhelia 128MB,3,393.99,1,4206,0.023769907297361538
RADEON 7500,3,177.25,1,4206,0.023769907297361538
RADEON 7200,3,599.99,1,4206,0.023769907297361538
RADEON 9250,3,194.0,1,4206,0.023769907297361538
Dell 8100,2,999.11,1,4206,0.023769907297361538
