GPU,Score,Price,Playable Games,Unplayable Games,Percent Playable
Tesla T4,10725,4420.77,3552,655,84.43071072022819
Radeon Pro SSG,10498,2410.15,3552,655,84.43071072022819
Tesla M40,10183,600.0,3552,655,84.43071072022819
GeForce GTX 1650 SUPER,10114,184.05,3552,655,84.43071072022819
GeForce GTX 1060,10075,279.99,3550,657,84.38317090563346
GeForce GTX 1060 3GB,9760,269.99,3152,1055,74.92274780128358
Radeon R9 Fury + Fury X,9741,449.99,3152,1055,74.92274780128358
GeForce GTX 970,9643,237.99,3152,1055,74.92274780128358
Radeon R9 Fury,9620,443.1,2873,1334,68.2909436653197
Intel Arc A770,9568,393.23,2873,1334,68.2909436653197
Radeon RX 590,9492,549.99,2873,1334,68.2909436653197
Radeon RX 6500 XT,9487,179.99,2863,1344,68.05324459234609
GeForce GTX 780 Ti,9486,339.99,2860,1347,67.98193487045401
GeForce RTX 3050 Laptop GPU,9404,269.99,2853,1354,67.81554551937248
Quadro M5000,9388,499.0,2853,1354,67.81554551937248
Quadro P2200,9375,459.8,2853,1354,67.81554551937248
Radeon RX 5500 XT,9181,184.99,2853,1354,67.81554551937248
Radeon Pro W5500,9134,409.99,2850,1357,67.74423579748039
Quadro P3200,9123,389.3,2850,1357,67.74423579748039
GeForce GTX 1060 5GB,9023,487.99,2850,1357,67.74423579748039
GeForce GTX TITAN Black,9011,524.99,2850,1357,67.74423579748039
Intel Arc A750,8987,179.99,2850,1357,67.74423579748039
GeForce GTX TITAN Z,8987,1515.0,2850,1357,67.74423579748039
Radeon RX 580,8901,179.99,2833,1374,67.34014737342524
Radeon RX 480,8664,339.99,2757,1450,65.53363441882577
Radeon R9 295X2,8638,499.1,2658,1549,63.18041359638698
Radeon R9 290X / 390X,8389,319.99,2658,1549,63.18041359638698
Radeon Pro Duo,8296,3970.36,2565,1642,60.969812217732354
GeForce GTX Titan,8212,745.0,2565,1642,60.969812217732354
Radeon R9 290 / 390,8150,380.0,2565,1642,60.969812217732354
Quadro K6000,8056,210.66,2565,1642,60.969812217732354
Radeon RX 470/570,8044,388.99,2565,1642,60.969812217732354
GeForce GTX 780,8024,279.99,2565,1642,60.969812217732354
FirePro W9100,7928,1729.99,2547,1660,60.541953886379844
Radeon Pro WX 7100,7927,1047.99,2547,1660,60.541953886379844
GeForce GTX 1650,7864,154.99,2547,1660,60.541953886379844
Tesla M60,7771,787.9,2493,1714,59.25837889232232
T1000,7666,399.99,2493,1714,59.25837889232232
Tesla M6,7509,199.0,2493,1714,59.25837889232232
Radeon RX 6400,7440,159.4,2493,1714,59.25837889232232
GeForce GTX 980M,7349,289.99,2493,1714,59.25837889232232
FirePro W8100,7279,704.0,2493,1714,59.25837889232232
Quadro T2000,7160,528.35,2493,1714,59.25837889232232
Quadro M5000M,7025,546.92,2493,1714,59.25837889232232
Quadro P2000,6906,439.6,2493,1714,59.25837889232232
Quadro M4000,6664,362.0,2487,1720,59.11575944853815
Quadro T1000,6594,375.94,2487,1720,59.11575944853815
T600,6467,239.99,2487,1720,59.11575944853815
GeForce GTX 1050 Ti,6306,283.99,2487,1720,59.11575944853815
Quadro M4000M,6266,254.91,2423,1784,57.59448538150701
Radeon R9 380X,6236,349.99,2423,1784,57.59448538150701
Tesla K80,6210,593.95,2406,1801,57.19039695745186
Radeon R9 380,6207,89.99,2406,1801,57.19039695745186
FirePro W9000,6138,845.0,2385,1822,56.69122890420727
GeForce GTX 960,6046,172.0,2385,1822,56.69122890420727
Quadro K5200,6034,415.0,2256,1951,53.62491086284763
GeForce GTX 770,5913,249.0,2256,1951,53.62491086284763
GeForce GTX 970M,5724,209.99,2217,1990,52.697884478250536
Radeon Pro WX 5100,5606,359.99,2217,1990,52.697884478250536
GeForce GTX 690,5579,280.99,2195,2012,52.17494651770858
Radeon HD 7990,5566,399.99,2195,2012,52.17494651770858
Radeon R9 285 / 380,5550,485.0,2192,2015,52.1036367958165
GeForce GTX 680,5543,399.0,2192,2015,52.1036367958165
Quadro M3000M,5509,159.95,2184,2023,51.9134775374376
GeForce GTX 950,5344,141.99,2184,2023,51.9134775374376
FirePro W7100,5326,389.3,2134,2073,50.72498217256952
GeForce GTX 670,5315,193.98,2134,2073,50.72498217256952
Radeon HD 7970 / R9 280X,5248,246.99,2100,2107,49.91680532445923
GeForce GTX 760 Ti,5191,297.5,2099,2108,49.893035417161876
Radeon R9 M295X,5150,1449.0,2099,2108,49.893035417161876
GeForce GTX 1050,5049,239.0,2099,2108,49.893035417161876
GeForce GTX 1630,5004,189.99,1983,2224,47.13572617066794
Barco MXRT 7600,4944,602.59,1983,2224,47.13572617066794
Radeon R9 270X,4914,326.5,1983,2224,47.13572617066794
GeForce GTX 760,4783,149.0,1972,2235,46.87425719039695
Radeon HD 7950 / R9 280,4765,132.2,1912,2295,45.44806275255526
Radeon R9 370,4722,159.99,1912,2295,45.44806275255526
Radeon HD 7870,4639,176.0,1911,2296,45.4242928452579
GeForce GTX 580,4545,139.92,1849,2358,43.95055859282149
FirePro S7000,4524,246.54,1846,2361,43.8792488709294
Quadro P1000,4437,289.99,1832,2375,43.54647016876634
GeForce GTX 660 Ti,4386,144.0,1832,2375,43.54647016876634
Quadro K4200,4319,249.0,1827,2380,43.427620632279535
Quadro M2200,4301,249.99,1819,2388,43.23746137390064
FirePro W7000,4261,278.05,1819,2388,43.23746137390064
