GPU,Score,Price
GRID P40-2B4,9111,0.0
Quadro P3200 with Max-Q Design,9084,0.0
Quadro P4000 with Max-Q Design,9083,0.0
GeForce GTX 1060 5GB,9023,487.99
GeForce GTX TITAN Black,9011,524.99
Intel Arc A750,8987,179.99
Radeon R9 390,8987,0.0
GeForce GTX TITAN Z,8987,1515.0
GRID P40-8Q,8967,0.0
Radeon RX 580,8901,179.99
Radeon RX 5500,8835,0.0
GeForce GTX 1660 Ti with Max-Q Design,8675,0.0
Tesla P4,8666,0.0
Radeon RX 480,8664,339.99
Radeon R9 290X,8661,0.0
Radeon R9 295X2,8638,499.1
Radeon RX590 GME,8525,0.0
GRID RTX6000-1B,8473,0.0
Quadro RTX 3000 with Max-Q Design,8419,0.0
Radeon R9 290X / 390X,8389,319.99
RTX A4500 Embedded GPU,8373,0.0
Ryzen 5 4600HS with Radeon Graphics,8371,0.0
Radeon R9 290,8359,0.0
Radeon Pro 5500 XT,8330,0.0
Radeon RX 5600M,8326,0.0
Radeon Pro Duo,8296,3970.36
Tesla V100-PCIE-32GB,8260,0.0
GeForce GTX Titan,8212,745.0
GeForce GTX 1060 (Mobile),8161,0.0
Radeon R9 290 / 390,8150,380.0
Quadro K6000,8056,210.66
Radeon RX 470/570,8044,388.99
GeForce GTX 780,8024,279.99
Ryzen 9 6900HS,8005,0.0
Radeon PRO W6400,7962,0.0
Radeon RX 6500M,7931,0.0
FirePro W9100,7928,1729.99
Radeon Pro WX 7100,7927,1047.99
Quadro M5500,7915,0.0
GeForce GTX 1060 with Max-Q Design,7885,0.0
GeForce GTX 1650,7864,154.99
T1200 Laptop GPU,7844,0.0
Radeon RX 580X,7798,0.0
Tesla M60,7771,787.9
Radeon Pro 580,7753,0.0
Radeon RX 580 2048SP,7737,0.0
Radeon RX 5300,7687,0.0
T1000,7666,399.99
T1000 8GB,7592,0.0
GeForce GTX 1650 Ti,7576,0.0
Radeon Pro 580X,7540,0.0
Radeon Ryzen 9 6900HS,7515,0.0
Tesla M6,7509,199.0
Intel Arc A770M,7485,0.0
Radeon RX 6500,7470,0.0
Radeon RX 6400,7440,159.4
GeForce GTX 980M,7349,289.99
FirePro W8100,7279,704.0
GeForce RTX 2050,7267,0.0
Radeon Pro 5300,7230,0.0
Tesla P100-PCIE-16GB,7225,0.0
Radeon Ryzen 9 4900HS,7186,0.0
Radeon 780M,7168,0.0
Quadro T2000,7160,528.35
